date,county,state,fips,cases,population,never,rarely,nr sum,always
12/6/2020,Alameda,California,6001,32802,1671329,0.019,0.008,0.027,0.795
12/6/2020,Alpine,California,6003,53,1129,0.025,0.085,0.11,0.612
12/6/2020,Amador,California,6005,846,39752,0.045,0.013,0.058,0.655
12/6/2020,Butte,California,6007,4455,219186,0.015,0.043,0.058,0.626
12/6/2020,Calaveras,California,6009,606,45905,0.045,0.019,0.064,0.562
12/6/2020,Colusa,California,6011,825,21547,0.027,0.031,0.058,0.7
12/6/2020,Contra Costa,California,6013,26355,1153526,0.018,0.016,0.034,0.806
12/6/2020,Del Norte,California,6015,411,27812,0.01,0.135,0.145,0.547
12/6/2020,El Dorado,California,6017,3061,192843,0.028,0.042,0.07,0.675
12/6/2020,Fresno,California,6019,40568,999101,0.021,0.022,0.043,0.741
12/6/2020,Glenn,California,6021,1056,28393,0.028,0.026,0.054,0.594
12/6/2020,Humboldt,California,6023,1014,135558,0.042,0.006,0.048,0.865
12/6/2020,Imperial,California,6025,16555,181215,0.001,0.005,0.006,0.836
12/6/2020,Inyo,California,6027,332,18039,0.033,0.011,0.044,0.889
12/6/2020,Kern,California,6029,45078,900202,0.022,0.028,0.05,0.668
12/6/2020,Kings,California,6031,11911,152940,0.075,0.016,0.091,0.766
12/6/2020,Lake,California,6033,1069,64386,0.003,0.004,0.007,0.849
12/6/2020,Lassen,California,6035,2422,30573,0.064,0.068,0.132,0.482
12/6/2020,Los Angeles,California,6037,439538,10039107,0.021,0.013,0.034,0.786
12/6/2020,Madera,California,6039,6619,157327,0.019,0.059,0.078,0.751
12/6/2020,Marin,California,6041,8020,258826,0.011,0,0.011,0.802
12/6/2020,Mariposa,California,6043,155,17203,0.01,0.094,0.104,0.661
12/6/2020,Mendocino,California,6045,1737,86749,0.002,0.003,0.005,0.77
12/6/2020,Merced,California,6047,12891,277680,0.026,0.036,0.062,0.703
12/6/2020,Modoc,California,6049,118,8841,0.068,0.019,0.087,0.615
12/6/2020,Mono,California,6051,554,14444,0.011,0.026,0.037,0.88
12/6/2020,Monterey,California,6053,17077,434061,0.023,0.006,0.029,0.763
12/6/2020,Napa,California,6055,3566,137744,0.017,0.026,0.043,0.773
12/6/2020,Nevada,California,6057,1642,99755,0.003,0.054,0.057,0.682
12/6/2020,Orange,California,6059,87150,3175692,0.023,0.021,0.044,0.754
12/6/2020,Placer,California,6061,7811,398329,0.012,0.023,0.035,0.693
12/6/2020,Plumas,California,6063,246,18807,0.063,0.067,0.13,0.671
12/6/2020,Riverside,California,6065,98612,2470546,0.026,0.014,0.04,0.803
12/6/2020,Sacramento,California,6067,41877,1552058,0.025,0.028,0.053,0.722
12/6/2020,San Benito,California,6069,2124,62808,0.018,0.004,0.022,0.739
12/6/2020,San Bernardino,California,6071,106770,2180085,0.027,0.022,0.049,0.768
12/6/2020,San Diego,California,6073,90533,3338330,0.017,0.023,0.04,0.8
12/6/2020,San Francisco,California,6075,16789,881549,0.017,0.011,0.028,0.817
12/6/2020,San Joaquin,California,6077,28105,762148,0.054,0.019,0.073,0.68
12/6/2020,San Luis Obispo,California,6079,6623,283111,0.025,0.024,0.049,0.745
12/6/2020,San Mateo,California,6081,15512,766573,0.016,0.013,0.029,0.786
12/6/2020,Santa Barbara,California,6083,12107,446499,0.015,0.02,0.035,0.737
12/6/2020,Santa Clara,California,6085,38388,1927852,0.015,0.014,0.029,0.764
12/6/2020,Santa Cruz,California,6087,4997,273213,0.008,0,0.008,0.797
12/6/2020,Shasta,California,6089,5653,180080,0.095,0.056,0.151,0.547
12/6/2020,Sierra,California,6091,17,3005,0.14,0.053,0.193,0.617
12/6/2020,Siskiyou,California,6093,786,43539,0.132,0.074,0.206,0.546
12/6/2020,Solano,California,6095,11418,447643,0.043,0.046,0.089,0.728
12/6/2020,Sonoma,California,6097,13281,494336,0.022,0.012,0.034,0.795
12/6/2020,Stanislaus,California,6099,25486,550660,0.032,0.028,0.06,0.705
12/6/2020,Sutter,California,6101,3937,96971,0.058,0.031,0.089,0.669
12/6/2020,Tehama,California,6103,1926,65084,0.057,0.062,0.119,0.545
12/6/2020,Trinity,California,6105,178,12285,0.081,0.07,0.151,0.592
12/6/2020,Tulare,California,6107,22660,466195,0.025,0.039,0.064,0.685
12/6/2020,Tuolumne,California,6109,1190,54478,0.008,0.043,0.051,0.653
12/6/2020,Ventura,California,6111,22710,846006,0.024,0.011,0.035,0.777
12/6/2020,Yolo,California,6113,5351,220500,0.007,0.005,0.012,0.791
12/6/2020,Yuba,California,6115,2403,78668,0.057,0.035,0.092,0.669

